"GOV","Level of government","TAX","Tax revenue","VAR","Indicator","COU","Country","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","CAN","Canada","1969","1969","USD","US Dollar","9","Billions",,,24.723,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","CAN","Canada","1970","1970","USD","US Dollar","9","Billions",,,27.214,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","CAN","Canada","1971","1971","USD","US Dollar","9","Billions",,,30.621,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","CAN","Canada","1972","1972","USD","US Dollar","9","Billions",,,35.41,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","CAN","Canada","1973","1973","USD","US Dollar","9","Billions",,,41.243,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","CAN","Canada","1974","1974","USD","US Dollar","9","Billions",,,52.682,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","CAN","Canada","1975","1975","USD","US Dollar","9","Billions",,,57.103,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","CAN","Canada","1976","1976","USD","US Dollar","9","Billions",,,64.489,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","CAN","Canada","1977","1977","USD","US Dollar","9","Billions",,,64.088,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","CAN","Canada","1978","1978","USD","US Dollar","9","Billions",,,66.768,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","CAN","Canada","1979","1979","USD","US Dollar","9","Billions",,,74.441,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","CAN","Canada","1980","1980","USD","US Dollar","9","Billions",,,85.842,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","CAN","Canada","1981","1981","USD","US Dollar","9","Billions",,,101.083,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","CAN","Canada","1982","1982","USD","US Dollar","9","Billions",,,103.102,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","CAN","Canada","1983","1983","USD","US Dollar","9","Billions",,,109.923,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","CAN","Canada","1984","1984","USD","US Dollar","9","Billions",,,113.807,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","CAN","Canada","1985","1985","USD","US Dollar","9","Billions",,,117.111,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","CAN","Canada","1986","1986","USD","US Dollar","9","Billions",,,126.013,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","CAN","Canada","1987","1987","USD","US Dollar","9","Billions",,,150.7,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","CAN","Canada","1988","1988","USD","US Dollar","9","Billions",,,172.566,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","CAN","Canada","1989","1989","USD","US Dollar","9","Billions",,,196.67,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","CAN","Canada","1990","1990","USD","US Dollar","9","Billions",,,210.144,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","CAN","Canada","1991","1991","USD","US Dollar","9","Billions",,,215.732,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","CAN","Canada","1992","1992","USD","US Dollar","9","Billions",,,206.586,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","CAN","Canada","1993","1993","USD","US Dollar","9","Billions",,,198.945,,
